_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad0434,success,Baie-Mahault,Guadeloupe,France,Point,"[-61.58543,16.26738]",2020-06-13T02:00:00.000Z,27,1014,78,2.6,120,03n,2020-06-13T02:00:00.000Z,4,o3,4,n2
5ee4e5f19ae5d010d5ad0435,success,Curacao,Curacao,Curacao,Point,"[-68.99002000000002,12.16957]",2020-06-13T02:00:00.000Z,28,1011,78,5.1,80,02n,2020-06-13T01:00:00.000Z,29,p2,10,p2
5ee4e5f19ae5d010d5ad0436,success,Kabul,Kabul,Afghanistan,Point,"[69.1798542,34.53536411]",2020-06-13T02:00:00.000Z,17,1014,67,1.5,310,02d,2020-06-13T02:00:00.000Z,57,p2,21,p2
5ee4e5f19ae5d010d5ad0437,success,Tirana,Tirana,Albania,Point,"[19.81889,41.3275]",2020-06-13T02:00:00.000Z,16,1013,87,1.5,190,04n,2020-06-13T01:00:00.000Z,14,p2,5,p2
5ee4e5f19ae5d010d5ad0438,success,Cruz Bay,Saint John Island,U.S. Virgin Islands,Point,"[-64.717728,18.355058]",2020-06-13T02:00:00.000Z,27,1013,84,1.79,129,01n,2020-06-13T02:00:00.000Z,46,p2,16,p2
5ee4e5f19ae5d010d5ad0439,success,Escaldes-Engordany,Escaldes-Engordany,Andorra,Point,"[1.5652,42.5169]",2020-06-13T02:00:00.000Z,8,1006,88,0.89,67,01n,2020-06-13T02:00:00.000Z,17,o3,13,o3
5ee4e5f19ae5d010d5ad043a,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad043b,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad043c,success,Luanda,Luanda,Angola,Point,"[13.23457718,-8.83526906]",2020-06-13T02:00:00.000Z,22,1012,83,1,0,04n,2020-06-13T02:00:00.000Z,59,p2,22,p2
5ee4e5f19ae5d010d5ad043d,success,Lanus Este,Buenos Aires,Argentina,Point,"[-58.374426,-34.711664]",2020-06-13T02:00:00.000Z,12,1012,50,4.1,220,04n,2020-06-13T00:00:00.000Z,45,p2,18,p1
5ee4e5f19ae5d010d5ad043e,success,Curacao,Curacao,Curacao,Point,"[-68.99002000000002,12.16957]",2020-06-13T02:00:00.000Z,28,1011,78,5.1,80,02n,2020-06-13T01:00:00.000Z,29,p2,10,p2
5ee4e5f19ae5d010d5ad043f,success,Mount Isa,Queensland,Australia,Point,"[139.490978,-20.698279]",2020-06-13T02:00:00.000Z,28,1016,28,4.1,290,01d,2020-06-13T02:00:00.000Z,14,p2,5,p2
5ee4e5f19ae5d010d5ad0440,success,Ardabil,Ardabil,Iran,Point,"[48.29526,38.2162]",2020-06-13T02:00:00.000Z,15,1006,65,1.84,210,01d,2020-06-13T01:00:00.000Z,50,p2,21,p1
5ee4e5f19ae5d010d5ad0441,success,Liezen,Styria,Austria,Point,"[14.244676,47.565439]",2020-06-13T02:00:00.000Z,11,972,82,2.14,187,01n,2020-06-13T01:00:00.000Z,29,p2,12,p1
5ee4e5f19ae5d010d5ad0442,success,Musalerr,Armavir,Armenia,Point,"[44.39969,40.162745]",2020-06-13T02:00:00.000Z,13,1008,62,1,80,01d,2020-06-13T02:00:00.000Z,55,p2,20,p2
5ee4e5f19ae5d010d5ad0443,success,Madinat Zayed,Abu Dhabi,United Arab Emirates,Point,"[53.689456,23.685624]",2020-06-13T02:00:00.000Z,30,999,34,4.78,294,04d,2020-06-13T02:00:00.000Z,139,p2,85,p1
5ee4e5f19ae5d010d5ad0444,success,Zenica,Federation of B&H,Bosnia Herzegovina,Point,"[17.90397,44.20169]",2020-06-13T02:00:00.000Z,13,1012,82,1.48,226,01n,2020-06-13T02:00:00.000Z,48,p2,28,s2
5ee4e5f19ae5d010d5ad0445,success,Azimpur,Dhaka,Bangladesh,Point,"[90.3854,23.7298]",2020-06-13T02:00:00.000Z,27,1003,83,3.1,100,50d,2020-06-13T02:00:00.000Z,59,p2,23,p2
5ee4e5f19ae5d010d5ad0446,success,Chatelet,Wallonia,Belgium,Point,"[4.52113020857407,50.4164333617278]",2020-06-13T02:00:00.000Z,13,1008,93,2.6,140,04n,2020-06-13T01:00:00.000Z,21,p2,10,p1
5ee4e5f19ae5d010d5ad0447,success,Trois-Rivieres,Guadeloupe,France,Point,"[-61.659656,15.978441]",2020-06-13T02:00:00.000Z,27,1014,78,2.6,120,04n,2020-06-13T02:00:00.000Z,51,p2,17,p2
5ee4e5f19ae5d010d5ad0448,success,Bamako,Bamako,Mali,Point,"[-8,12.65]",2020-06-13T02:00:00.000Z,29,1012,62,1.5,220,02n,2020-06-13T02:00:00.000Z,84,p2,40,p2
5ee4e5f19ae5d010d5ad0449,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad044a,success,Stara Zagora,Stara Zagora,Bulgaria,Point,"[25.637389,42.432356]",2020-06-13T02:00:00.000Z,12,1007,93,1,50,02n,2020-06-12T22:00:00.000Z,41,p2,14,p2
5ee4e5f19ae5d010d5ad044b,success,Accra,Greater Accra,Ghana,Point,"[-0.186964,5.603717]",2020-06-13T02:00:00.000Z,26,1012,94,2.1,210,02n,2020-06-13T02:00:00.000Z,70,p2,30,p2
5ee4e5f19ae5d010d5ad044c,success,Manama,Capital Governorate,Bahrain,Point,"[50.570833,26.204689]",2020-06-13T02:00:00.000Z,34,1000,46,5.7,330,01d,2020-06-13T02:00:00.000Z,82,p2,39,p2
5ee4e5f19ae5d010d5ad044d,success,Kampala,Central Region,Uganda,Point,"[32.611671,0.320326]",2020-06-13T02:00:00.000Z,21,1017,88,1.5,350,02n,2020-06-13T02:00:00.000Z,119,p2,60,p2
5ee4e5f19ae5d010d5ad044e,success,Tutong,Tutong,Brunei,Point,"[114.65,4.8]",2020-06-13T02:00:00.000Z,30,1009,74,2.1,180,04d,2020-06-13T01:00:00.000Z,10,p2,3,p2
5ee4e5f19ae5d010d5ad044f,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0450,success,Cochabamba,Cochabamba,Bolivia,Point,"[-66.205882,-17.388055]",2020-06-13T02:00:00.000Z,14,1022,44,2.1,60,01n,2020-06-13T02:00:00.000Z,80,p1,82,p1
5ee4e5f19ae5d010d5ad0451,success,Miami,Florida,USA,Point,"[-80.2156,25.7947]",2020-06-13T02:00:00.000Z,26,1015,78,4.1,60,03n,2020-06-13T00:00:00.000Z,22,p2,16,p1
5ee4e5f19ae5d010d5ad0452,success,Sao Jose do Rio Preto,Sao Paulo,Brazil,Point,"[-49.3762272,-20.811761]",2020-06-13T02:00:00.000Z,23,1017,43,2.08,58,01n,2020-06-13T00:00:00.000Z,107,p2,61,p1
5ee4e5f19ae5d010d5ad0453,success,Guwahati,Assam,India,Point,"[91.73624,26.144483]",2020-06-13T02:00:00.000Z,29,1003,100,0.57,49,50d,2020-06-13T01:00:00.000Z,86,p2,49,p1
5ee4e5f19ae5d010d5ad0454,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0455,success,Lephalale,Limpopo,South Africa,Point,"[27.74482850000004,-23.6664659]",2020-06-13T02:00:00.000Z,3,1030,61,2.08,113,01n,2020-06-13T02:00:00.000Z,37,p2,22,p1
5ee4e5f19ae5d010d5ad0456,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0457,success,Nowa Swidzialowka,Podlasie,Poland,Point,"[23.642069,53.218786]",2020-06-13T02:00:00.000Z,19,1016,84,15.65,0,02d,2020-06-13T02:00:00.000Z,41,p2,14,p2
5ee4e5f19ae5d010d5ad0458,success,Pinehouse,Saskatchewan,Canada,Point,"[-106.72167,55.50333]",2020-06-13T02:00:00.000Z,18,1017,50,5.05,144,03d,2020-06-12T21:00:00.000Z,8,p2,3,p2
